,logFC,AveExpr,t,P.Value,adj.P.Val,B
KCNQ1,1.0953755314159,6.23419194199085,4.74279504497008,2.45972779269411e-06,1.68126482906029e-05,3.9407685778943
HOXB5,1.04654166919706,3.37763875761556,4.74213694262129,2.46753260350735e-06,1.68638880106004e-05,3.93774291264188
MOGAT3,1.7988996293894,2.52159304498741,4.73960078264144,2.4978336864304e-06,1.70581862254102e-05,3.92608649323128
FCGR1CP,1.11476657570175,-3.3386536434897,4.73860626517833,2.5098131991947e-06,1.71314405253905e-05,3.92151721790316
TDRD5,1.56082185087436,0.217142282599542,4.73732044610252,2.52538350805059e-06,1.72291194926815e-05,3.91561091744133
TBX4,1.64028640577306,-2.61395200363959,4.73551524525118,2.54739995732263e-06,1.73714492812148e-05,3.90732144990317
KRT18P38,1.08682183641918,-2.30157999428146,4.73351625022845,2.57199526889909e-06,1.75316125472126e-05,3.89814558231929
HNRNPA1P27,1.00317727953352,-2.29595474725172,4.73322081659213,2.57564954635998e-06,1.75523488584798e-05,3.8967897830273
HOXD13,2.53629990312952,-2.04177392176934,4.73187473197055,2.59236281836088e-06,1.7655246463734e-05,3.89061337054533
LINC02389,1.10678115866785,-4.0317426576476,4.73110781081549,2.60193165015829e-06,1.77137978099835e-05,3.88709515415557
PROZ,1.03822648819215,-2.35774873479977,4.73105353344888,2.60261015096876e-06,1.77162118490649e-05,3.8868461796957
PDZK1IP1,1.2997462037136,6.07152954989702,4.73044673679814,2.61020707672463e-06,1.77657137956015e-05,3.88406294145163
CFAP47,1.58690688341599,-3.57461401297483,4.72921449227401,2.62570009785045e-06,1.78622719965088e-05,3.87841195957516
AC011611.3,1.07555833487279,-4.09945421901602,4.7277896988653,2.64372425748038e-06,1.79737101631932e-05,3.87187970614912
AP002784.1,1.19863765475835,-4.46868149713959,4.72727599459218,2.65025193334235e-06,1.80136112208475e-05,3.86952498364585
TMEM150B,1.13911543358008,3.09637934804348,4.72332272460762,2.70100745257718e-06,1.83335322187527e-05,3.85141208018709
QPCT,1.22174111997173,3.60954254740275,4.7176282693794,2.77576326073807e-06,1.88036130227977e-05,3.825346801941
AL589182.2,1.17133545937648,-4.40043697341991,4.71604696522547,2.79687265778062e-06,1.89442662560138e-05,3.81811398491472
AC012354.4,1.16489281400685,-5.0320597,4.71436689287389,2.81946958903482e-06,1.90925949204233e-05,3.81043193073138
AC005993.1,1.73119704092248,-3.48814087461785,4.71348429742019,2.83141067962126e-06,1.91687098801689e-05,3.80639734533409
COL8A1,1.20931506282421,4.84030865923341,4.71299116488902,2.83810367666421e-06,1.92092662535761e-05,3.80414341412562
ASS1,1.00150404915543,7.75812832345538,4.70838590399644,2.90134667345634e-06,1.96081992221296e-05,3.78310524351862
LINC02126,1.06781221622504,-4.38451975697941,4.70397100648011,2.9632456340719e-06,1.99919476940376e-05,3.76295505901327
