,logFC,AveExpr,t,P.Value,adj.P.Val,B
VWC2,-1.99715205450998,-2.96669743587529,-6.53583350074027,1.07222720369853e-10,1.41348437952016e-09,13.6339147135896
TENM2,-2.14098008687427,-1.02574069418764,-6.53496356404827,1.07818655870493e-10,1.42031343517259e-09,13.6285251187571
TAGLN3,-1.97023885281146,-3.48497461045423,-6.53173354916555,1.10059834083158e-10,1.44879004216085e-09,13.6085196150832
AL162424.1,-1.21355519428594,-4.33161745216934,-6.52759302720355,1.12999590674987e-10,1.48570014710779e-09,13.5828878849742
MBNL1.AS1,-1.29846631024299,1.53308544765103,-6.5197131017833,1.18808225901511e-10,1.55852114243894e-09,13.5341482434316
CYP1B1.AS1,-1.3217010620254,-1.41435229248627,-6.51859021826569,1.19659398755753e-10,1.56723439055218e-09,13.5272072265064
AC007637.1,-1.36617827397465,-1.27549120570927,-6.51114878599272,1.25453011757168e-10,1.64075860307467e-09,13.4812359967815
MT.RNR2,-1.06703354351573,12.8648546990847,-6.51002841279078,1.26348750092131e-10,1.65207862450134e-09,13.4743187483078
DUSP5,-1.07750111831636,4.24500246304348,-6.50913301912919,1.27069116421144e-10,1.66110069853119e-09,13.4687913127479
MT.ND5,-1.06034070689221,10.9312834130435,-6.50797073781829,1.28010200553216e-10,1.67300308703899e-09,13.4616173576195
CHIA,-1.96812370373359,-5.41202390171625,-6.50476232339589,1.30643571063931e-10,1.70619630356775e-09,13.4418200764248
PDZD4,-1.72394214300193,0.130493120763158,-6.4964509209777,1.37714445658963e-10,1.79212267554532e-09,13.3905763839711
ZNF626,-1.52358830639168,0.244039486046911,-6.49503755305026,1.38953569701453e-10,1.80652852265771e-09,13.381868222832
KY,-1.75959620032902,-2.17570250329863,-6.49224785591214,1.41431462018302e-10,1.83656073482693e-09,13.364685153275
DIRAS1,-1.82492221618038,-0.661548696852403,-6.49185972437954,1.41779621963964e-10,1.84064477173487e-09,13.3622949977438
SCNN1G,-2.40059733539999,-2.58741327189931,-6.48940459072877,1.440014341173e-10,1.86771601589891e-09,13.347179026841
PTPRZ1,-2.82698383973847,-0.869650490160183,-6.48287332721919,1.50079270876405e-10,1.94286052558224e-09,13.3069920699662
AC130371.2,-1.20378684525268,-2.13542276537071,-6.48031726974263,1.52525633097849e-10,1.97219609983141e-09,13.2912746141209
FOXD3,-2.09814128860543,-3.35059739258124,-6.47926540237737,1.53543657315586e-10,1.98395235929033e-09,13.2848082097674
GNAO1,-1.8852373876026,1.90759352560412,-6.47850620687934,1.54282555855484e-10,1.99208791135876e-09,13.2801416117424
FAM181B,-1.86900760248809,-2.89005686470881,-6.47680593643567,1.55950019045462e-10,2.01266783664264e-09,13.2696922462297
AL132642.1,-1.75850451285899,-4.01294968095995,-6.47492467977765,1.57815536236549e-10,2.03530317247301e-09,13.2581334945909
SLC16A7,-1.82934705663917,1.91209801693364,-6.47482213894133,1.57917844518352e-10,2.03614250493429e-09,13.2575035543833
PER3,-1.29293963210994,3.52228864942792,-6.47407737385804,1.58662871164838e-10,2.04526649501787e-09,13.2529285029925
FSIP2,-1.70480106322903,0.780255585385675,-6.46971696091643,1.63094353308388e-10,2.09892838922407e-09,13.2261523138874
ADCY5,-1.88743422211259,2.31687367535126,-6.46955339842809,1.63262917775127e-10,2.1001094279658e-09,13.2251482369746
SLC30A8,-1.96361155014479,-3.95565614559497,-6.45986778864206,1.73554666142661e-10,2.22725773455487e-09,13.1657313547572
PIRT,-1.96526880040126,-2.81272681011442,-6.45780313019324,1.7582926944242e-10,2.25433237040627e-09,13.1530760556766
CYP3A4,-2.27084517814037,-1.3189392988595,-6.45438031604193,1.79664569590217e-10,2.29919364383176e-09,13.1321040550626
C14orf132,-1.53552813275488,2.53720535181259,-6.45360359887251,1.80546221584099e-10,2.30885564403607e-09,13.127346420405
